idCliente;Producto;Número_de_Identificación;Tipo_de_Identificación;Tipo_de_Cliente
297;Ventilador Centrífugo;83887814;DNI;Natural
594;Ventilador Tubular;39731526;RUC;Jurídico
891;VRV;52368673;RUC;Jurídico
188;Ducto Circular;40639576;DNI;Natural
485;Ventilador Tubular;20568680306;RUC;Jurídico
486;Fan Coil;20976255221;RUC;Jurídico
487;Cassette;20061424755;RUC;Jurídico
488;Ventilador Centrífugo;20855392695;RUC;Jurídico
489;Tipo Paquete;20785328277;RUC;Jurídico
490;Filtro Hepa;20981911368;RUC;Jurídico
491;Tipo Paquete;20742934972;RUC;Jurídico
492;Split Pared;20081143811;RUC;Jurídico
493;Tipo Paquete;20970551009;RUC;Jurídico
494;Ventilador Tubular;20481276053;RUC;Jurídico
495;Split Pared;20280970417;RUC;Jurídico
496;Split Pared;20542289305;RUC;Jurídico
497;Split Ducto;20113788142;RUC;Jurídico
498;Rejilla 1 vía;20990804585;RUC;Jurídico
499;Llave de Paso;20959276550;RUC;Jurídico
500;VRF;20932811789;RUC;Jurídico
501;Tipo Paquete;68061236;DNI;Natural
502;Cortina de Aire Industrial;6224670;RUC;Jurídico
503;Circular Residencial ;22824092;DNI;Natural
504;VRV;90188188;DNI;Natural
505;VRF;18028704;RUC;Jurídico
506;Tipo Paquete;69643098;DNI;Natural
507;VRV;46026749;DNI;Natural
508;Rejilla 3 vías;58656442;DNI;Natural
509;VRV;71345752;DNI;Natural
510;Ventilador Industrial;13617876;DNI;Natural
511;Split Piso Techo;12440709;DNI;Natural
512;Axial Residencial;49148090;RUC;Jurídico
513;Helicocentrífugo Comercial ;26699690;DNI;Natural
514;Circular Residencial ;42913150;RUC;Jurídico
515;Circular Residencial ;84907662;DNI;Natural
516;Split Pared;13811650;DNI;Natural
517;Cortina de Aire Industrial;10927549;DNI;Natural
518;Helicocentrífugo Residencial;69026694;RUC;Jurídico
519;Split Piso Techo;19709960;DNI;Natural
520;Rejilla 1 vía;62268495;DNI;Natural
521;Circular Residencial ;36628914;RUC;Jurídico
522;Tubería de Cobre;98889315;DNI;Natural
523;Fan Coil;12391853;DNI;Natural
524;Cassette;21324575;DNI;Natural
525;Cortina de Aire ;45689094;RUC;Jurídico
526;Cortina de Aire ;57366569;RUC;Jurídico
527;Termostatos;73576027;RUC;Jurídico
528;Helicocentrífugo Silent  ;69173067;DNI;Natural
529;Cortina de Aire ;84823298;DNI;Natural
530;Axial Residencial;24469013;RUC;Jurídico
531;VRF;6540319;DNI;Natural
532;Termostatos;24630063;DNI;Natural
533;Presostato;99586619;DNI;Natural
534;Helicocentrífugo Residencial;2432872;DNI;Natural
535;Split Pared;48237890;DNI;Natural
536;Cassette;91315142;DNI;Natural
537;Tipo Paquete;77500195;DNI;Natural
538;Split Piso Techo;41361263;DNI;Natural
539;Circular Residencial ;83478096;DNI;Natural
540;Helicocentrífugo Residencial;89768636;DNI;Natural
541;Cassette;47328152;RUC;Jurídico
542;Cortina de Aire ;83152826;DNI;Natural
543;Rejilla 2 vías;19425021;DNI;Natural
544;Split Piso Techo;25311469;DNI;Natural
545;Split Piso Techo;86542164;DNI;Natural
546;VRF;88464428;DNI;Natural
547;Split Piso Techo;61095993;RUC;Jurídico
548;Cassette;31316291;DNI;Natural
549;Split Pared;96145309;RUC;Jurídico
550;Cassette;87625813;RUC;Jurídico
551;Helicocentrífugo Comercial ;94228710;RUC;Jurídico
552;Cortina de Aire Industrial;38653341;RUC;Jurídico
553;Split Piso Techo;59889548;RUC;Jurídico
554;VRV;92602746;DNI;Natural
555;Ventilador Tubular;71746717;RUC;Jurídico
556;Split Pared;84771822;DNI;Natural
557;Axial Residencial;54214356;RUC;Jurídico
558;Ventana;34161295;DNI;Natural
559;Cassette;97905180;RUC;Jurídico
560;Split Piso Techo;60518838;RUC;Jurídico
561;Circular Residencial ;9281995;DNI;Natural
562;Rejilla Lineal;74341685;DNI;Natural
563;Fan Coil;30196610;DNI;Natural
564;Cortina de Aire ;40309980;DNI;Natural
565;Tipo Paquete;73937215;RUC;Jurídico
566;Split Piso Techo;56687260;DNI;Natural
567;VRV;30654687;DNI;Natural
568;Helicocentrífugo Silent  ;45766708;RUC;Jurídico
569;Ventilador Industrial;73787198;RUC;Jurídico
570;Ventilador Tubular;71018398;DNI;Natural
571;Ducto Flexible;33849035;RUC;Jurídico
572;Circular Residencial ;66625489;DNI;Natural
573;VRV;52312624;DNI;Natural
574;Split Ducto;51741273;DNI;Natural
575;Circular Residencial ;5641539;DNI;Natural
576;Rejilla Lineal;30010737;RUC;Jurídico
577;Rejilla Doble Deflexión;73062085;DNI;Natural
578;Termostatos;15095108;DNI;Natural
579;Cortina de Aire Industrial;26518586;DNI;Natural
580;Axial Residencial;17042851;RUC;Jurídico
581;VRV;48720470;RUC;Jurídico
582;Circular Residencial ;45635170;DNI;Natural
583;VRF;95141344;RUC;Jurídico
584;Helicocentrífugo Residencial;52499764;RUC;Jurídico
585;Helicocentrífugo Comercial ;44075361;DNI;Natural
586;Ducto Circular;41996929;RUC;Jurídico
587;Filtro Deshumedecedor;36892155;RUC;Jurídico
588;Ventilador Centrífugo;92992019;DNI;Natural
589;Rejilla Circular;48861568;DNI;Natural
590;Fan Coil;98424031;DNI;Natural
591;Circular Residencial ;83856022;RUC;Jurídico
592;Ventilador Tubular;41719274;DNI;Natural
593;Helicocentrífugo Comercial ;37558389;RUC;Jurídico
594;Helicocentrífugo Residencial;39731526;RUC;Jurídico
595;VRV;72569665;RUC;Jurídico
596;VRF;73446903;DNI;Natural
597;Cortina de Aire Industrial;55856455;RUC;Jurídico
598;Cassette;47690019;RUC;Jurídico
599;Split Ducto;87695672;DNI;Natural
600;Termostatos;25084167;DNI;Natural
601;Helicocentrífugo Residencial;42936379;RUC;Jurídico
602;Termostatos;96309362;DNI;Natural
603;Repuestos;9485314;RUC;Jurídico
604;Ventilador Tubular;29210489;DNI;Natural
605;Tipo Paquete;27011879;DNI;Natural
606;Bomba de Condensado;98531000;DNI;Natural
607;Tipo Paquete;41635541;RUC;Jurídico
608;VRF;88856738;RUC;Jurídico
609;Filtro Metálico;46216231;RUC;Jurídico
610;Termostatos;79632392;RUC;Jurídico
611;Ventilador Centrífugo;40930118;RUC;Jurídico
612;Aislamiento Térmico;34059744;DNI;Natural
613;Split Piso Techo;21586989;DNI;Natural
614;Ventilador Centrífugo;21495891;DNI;Natural
615;Split Ducto;7499616;RUC;Jurídico
616;Fan Coil;48075447;DNI;Natural
617;Fan Coil;73559889;DNI;Natural
618;Fan Coil;40260593;DNI;Natural
619;Ducto Rectangular;87228722;DNI;Natural
